架次编号,服务区编号,机型编号,货箱编号列表,总质量（kg）,总体积（m³）,往返时间（s）,架次能耗（kWh）,返航SOC（%）
Q1-001,S001,C,S001-MED-01;S001-MED-02;S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05,76.000000,0.159000,1561.426742,2.926237,63.422033
Q1-002,S001,C,S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-HYG-02;S001-WAT-06;S001-WAT-07;S001-WAT-08,78.000000,0.235000,1627.426742,3.004662,62.441724
Q1-003,S002,B,S002-MED-01;S002-FOD-01;S002-WAT-01,25.000000,0.067000,1819.890042,2.721898,31.952549
Q1-004,S002,C,S002-FOD-02;S002-HYG-01;S002-WAT-02;S002-WAT-03;S002-WAT-04,56.000000,0.144000,2045.008127,5.739334,28.258330
Q1-005,S003,B,S003-MED-01;S003-FOD-01;S003-WAT-01,25.000000,0.067000,2080.242812,2.779102,30.522455
Q1-006,S003,C,S003-FOD-02;S003-HYG-01;S003-WAT-02;S003-WAT-03;S003-WAT-04,56.000000,0.144000,2369.810858,5.763282,27.958980
Q1-007,S004,C,S004-MED-01;S004-FOD-01;S004-HYG-01;S004-WAT-01;S004-WAT-02;S004-WAT-03,59.000000,0.156000,2305.185491,6.176859,22.789267
Q1-008,S005,C,S005-MED-01;S005-FOD-01;S005-HYG-01;S005-WAT-01;S005-WAT-02;S005-WAT-03,59.000000,0.156000,1880.045617,4.238735,47.015812
Q1-009,S006,C,S006-MED-01;S006-FOD-01;S006-HYG-01;S006-WAT-01;S006-WAT-02;S006-WAT-03,59.000000,0.156000,1560.863885,2.593935,67.575813
Q1-010,S007,C,S007-MED-01;S007-FOD-01;S007-HYG-01;S007-WAT-01;S007-WAT-02,45.000000,0.129000,1907.482101,3.410376,57.370300
Q1-011,S008,C,S008-MED-01;S008-FOD-01;S008-HYG-01;S008-WAT-01;S008-WAT-02,45.000000,0.129000,2203.759889,5.857451,26.781857
Q1-012,S009,B,S009-MED-01;S009-FOD-01;S009-WAT-01,25.000000,0.067000,1560.779791,2.102431,47.439223
Q1-013,S010,B,S010-MED-01;S010-FOD-01;S010-WAT-01,25.000000,0.067000,1554.572239,1.821004,54.474890
Q1-014,S011,B,S011-MED-01;S011-FOD-01;S011-WAT-01,25.000000,0.067000,1189.630805,1.077146,73.071347
Q1-015,S012,B,S012-MED-01;S012-FOD-01;S012-WAT-01,25.000000,0.067000,1923.801401,2.755193,31.120163
Q1-016,S013,B,S013-MED-01;S013-FOD-01;S013-WAT-01,25.000000,0.067000,1510.400941,1.824534,54.386656
Q1-017,S014,B,S014-MED-01;S014-FOD-01;S014-WAT-01,25.000000,0.067000,1868.598448,2.137233,46.569182
Q1-018,S015,B,S015-MED-01;S015-FOD-01;S015-WAT-01,25.000000,0.067000,1829.574101,2.310846,42.228857
