服务区编号,机型编号,水平单程距离（m）,航段最高DEM（m）,计划巡航海拔（m）,去程爬升（m）,返程爬升（m）,返航安全余量,最大安全载荷（kg）,额定载荷（kg）
S001,A,3063.411326,223.056610,273.056610,145.356610,89.056610,0.200000,25.000000,25.000000
S001,B,3063.411326,223.056610,273.056610,145.356610,89.056610,0.200000,30.000000,30.000000
S001,C,3063.411326,223.056610,273.056610,145.356610,89.056610,0.200000,80.000000,80.000000
S002,A,7435.278518,258.954254,308.954254,181.254254,89.454254,0.200000,25.000000,25.000000
S002,B,7435.278518,258.954254,308.954254,181.254254,89.454254,0.200000,30.000000,30.000000
S002,C,7435.278518,258.954254,308.954254,181.254254,89.454254,0.200000,68.554301,80.000000
S003,A,7261.075570,511.804138,561.804138,434.104138,223.304138,0.200000,25.000000,25.000000
S003,B,7261.075570,511.804138,561.804138,434.104138,223.304138,0.200000,30.000000,30.000000
S003,C,7261.075570,511.804138,561.804138,434.104138,223.304138,0.200000,68.235490,80.000000
S004,A,7745.662442,348.239166,398.239166,270.539166,169.939166,0.200000,25.000000,25.000000
S004,B,7745.662442,348.239166,398.239166,270.539166,169.939166,0.200000,30.000000,30.000000
S004,C,7745.662442,348.239166,398.239166,270.539166,169.939166,0.200000,63.259311,80.000000
S005,A,5302.020131,276.410889,326.410889,198.710889,131.410889,0.200000,25.000000,25.000000
S005,B,5302.020131,276.410889,326.410889,198.710889,131.410889,0.200000,30.000000,30.000000
S005,C,5302.020131,276.410889,326.410889,198.710889,131.410889,0.200000,80.000000,80.000000
S006,A,3181.033308,316.097839,366.097839,238.397839,51.297839,0.200000,25.000000,25.000000
S006,B,3181.033308,316.097839,366.097839,238.397839,51.297839,0.200000,30.000000,30.000000
S006,C,3181.033308,316.097839,366.097839,238.397839,51.297839,0.200000,80.000000,80.000000
S007,A,4533.827898,461.973175,511.973175,384.273175,163.473175,0.200000,25.000000,25.000000
S007,B,4533.827898,461.973175,511.973175,384.273175,163.473175,0.200000,30.000000,30.000000
S007,C,4533.827898,461.973175,511.973175,384.273175,163.473175,0.200000,80.000000,80.000000
S008,A,8109.473185,322.909332,372.909332,245.209332,102.009332,0.200000,25.000000,25.000000
S008,B,8109.473185,322.909332,372.909332,245.209332,102.009332,0.200000,28.632454,30.000000
S008,C,8109.473185,322.909332,372.909332,245.209332,102.009332,0.200000,58.435841,80.000000
S009,A,5722.680393,243.228912,293.228912,165.528912,63.228912,0.200000,25.000000,25.000000
S009,B,5722.680393,243.228912,293.228912,165.528912,63.228912,0.200000,30.000000,30.000000
S009,C,5722.680393,243.228912,293.228912,165.528912,63.228912,0.200000,80.000000,80.000000
S010,A,4778.439902,385.636536,435.636536,307.936536,84.036536,0.200000,25.000000,25.000000
S010,B,4778.439902,385.636536,435.636536,307.936536,84.036536,0.200000,30.000000,30.000000
S010,C,4778.439902,385.636536,435.636536,307.936536,84.036536,0.200000,80.000000,80.000000
S011,A,2817.151725,245.361755,295.361755,167.661755,83.261755,0.200000,25.000000,25.000000
S011,B,2817.151725,245.361755,295.361755,167.661755,83.261755,0.200000,30.000000,30.000000
S011,C,2817.151725,245.361755,295.361755,167.661755,83.261755,0.200000,80.000000,80.000000
S012,A,7398.449561,363.300995,413.300995,285.600995,133.500995,0.200000,25.000000,25.000000
S012,B,7398.449561,363.300995,413.300995,285.600995,133.500995,0.200000,30.000000,30.000000
S012,C,7398.449561,363.300995,413.300995,285.600995,133.500995,0.200000,68.014672,80.000000
S013,A,4848.707000,349.181824,399.181824,271.481824,47.481824,0.200000,25.000000,25.000000
S013,B,4848.707000,349.181824,399.181824,271.481824,47.481824,0.200000,30.000000,30.000000
S013,C,4848.707000,349.181824,399.181824,271.481824,47.481824,0.200000,80.000000,80.000000
S014,A,5410.917094,541.947388,591.947388,464.247388,240.947388,0.200000,25.000000,25.000000
S014,B,5410.917094,541.947388,591.947388,464.247388,240.947388,0.200000,30.000000,30.000000
S014,C,5410.917094,541.947388,591.947388,464.247388,240.947388,0.200000,80.000000,80.000000
S015,A,6019.113949,521.799255,571.799255,444.099255,97.299255,0.200000,25.000000,25.000000
S015,B,6019.113949,521.799255,571.799255,444.099255,97.299255,0.200000,30.000000,30.000000
S015,C,6019.113949,521.799255,571.799255,444.099255,97.299255,0.200000,80.000000,80.000000
