返航安全余量,服务区编号,A型最大安全载荷（kg）,B型最大安全载荷（kg）,C型最大安全载荷（kg）
0.100000,S001,25.000000,30.000000,80.000000
0.100000,S002,25.000000,30.000000,78.368509
0.100000,S003,25.000000,30.000000,78.252643
0.100000,S004,25.000000,30.000000,74.569314
0.100000,S005,25.000000,30.000000,80.000000
0.100000,S006,25.000000,30.000000,80.000000
0.100000,S007,25.000000,30.000000,80.000000
0.100000,S008,25.000000,30.000000,71.108630
0.100000,S009,25.000000,30.000000,80.000000
0.100000,S010,25.000000,30.000000,80.000000
0.100000,S011,25.000000,30.000000,80.000000
0.100000,S012,25.000000,30.000000,78.016515
0.100000,S013,25.000000,30.000000,80.000000
0.100000,S014,25.000000,30.000000,80.000000
0.100000,S015,25.000000,30.000000,80.000000
0.150000,S001,25.000000,30.000000,80.000000
0.150000,S002,25.000000,30.000000,73.981328
0.150000,S003,25.000000,30.000000,73.776923
0.150000,S004,25.000000,30.000000,69.546625
0.150000,S005,25.000000,30.000000,80.000000
0.150000,S006,25.000000,30.000000,80.000000
0.150000,S007,25.000000,30.000000,80.000000
0.150000,S008,25.000000,30.000000,65.515293
0.150000,S009,25.000000,30.000000,80.000000
0.150000,S010,25.000000,30.000000,80.000000
0.150000,S011,25.000000,30.000000,80.000000
0.150000,S012,25.000000,30.000000,73.548291
0.150000,S013,25.000000,30.000000,80.000000
0.150000,S014,25.000000,30.000000,80.000000
0.150000,S015,25.000000,30.000000,80.000000
0.200000,S001,25.000000,30.000000,80.000000
0.200000,S002,25.000000,30.000000,68.554301
0.200000,S003,25.000000,30.000000,68.235490
0.200000,S004,25.000000,30.000000,63.259311
0.200000,S005,25.000000,30.000000,80.000000
0.200000,S006,25.000000,30.000000,80.000000
0.200000,S007,25.000000,30.000000,80.000000
0.200000,S008,25.000000,28.632454,58.435841
0.200000,S009,25.000000,30.000000,80.000000
0.200000,S010,25.000000,30.000000,80.000000
0.200000,S011,25.000000,30.000000,80.000000
0.200000,S012,25.000000,30.000000,68.014672
0.200000,S013,25.000000,30.000000,80.000000
0.200000,S014,25.000000,30.000000,80.000000
0.200000,S015,25.000000,30.000000,80.000000
0.250000,S001,25.000000,30.000000,80.000000
0.250000,S002,25.000000,29.883627,61.644279
0.250000,S003,25.000000,29.050240,61.179705
0.250000,S004,25.000000,27.216269,55.120010
0.250000,S005,25.000000,30.000000,80.000000
0.250000,S006,25.000000,30.000000,80.000000
0.250000,S007,25.000000,30.000000,80.000000
0.250000,S008,24.116042,25.273004,49.112355
0.250000,S009,25.000000,30.000000,80.000000
0.250000,S010,25.000000,30.000000,80.000000
0.250000,S011,25.000000,30.000000,80.000000
0.250000,S012,25.000000,29.386993,60.961030
0.250000,S013,25.000000,30.000000,80.000000
0.250000,S014,25.000000,30.000000,80.000000
0.250000,S015,25.000000,30.000000,78.343817
0.300000,S001,25.000000,30.000000,80.000000
0.300000,S002,25.000000,26.580576,52.481159
0.300000,S003,24.773021,25.443715,51.840287
0.300000,S004,19.603213,23.193418,44.037546
0.300000,S005,25.000000,30.000000,80.000000
0.300000,S006,25.000000,30.000000,80.000000
0.300000,S007,25.000000,30.000000,80.000000
0.300000,S008,13.516994,20.731702,36.000919
0.300000,S009,25.000000,30.000000,78.943728
0.300000,S010,25.000000,30.000000,80.000000
0.300000,S011,25.000000,30.000000,80.000000
0.300000,S012,25.000000,25.927697,51.597948
0.300000,S013,25.000000,30.000000,80.000000
0.300000,S014,25.000000,30.000000,80.000000
0.300000,S015,25.000000,30.000000,72.876100
