服务区编号,优先规则,架次数,总能耗（kWh）,累计作业时间（s）
S001,架次-能耗-时间,2,5.930899,3188.853483
S001,架次-时间-能耗,2,5.930899,3188.853483
S002,架次-能耗-时间,2,8.461232,3864.898168
S002,架次-时间-能耗,2,8.461232,3864.898168
S003,架次-能耗-时间,2,8.542383,4450.053670
S003,架次-时间-能耗,2,8.542383,4450.053670
S004,架次-能耗-时间,1,6.176859,2305.185491
S004,架次-时间-能耗,1,6.176859,2305.185491
S005,架次-能耗-时间,1,4.238735,1880.045617
S005,架次-时间-能耗,1,4.238735,1880.045617
S006,架次-能耗-时间,1,2.593935,1560.863885
S006,架次-时间-能耗,1,2.593935,1560.863885
S007,架次-能耗-时间,1,3.410376,1907.482101
S007,架次-时间-能耗,1,3.410376,1907.482101
S008,架次-能耗-时间,1,5.857451,2203.759889
S008,架次-时间-能耗,1,5.857451,2203.759889
S009,架次-能耗-时间,1,2.102431,1560.779791
S009,架次-时间-能耗,1,2.102431,1560.779791
S010,架次-能耗-时间,1,1.821004,1554.572239
S010,架次-时间-能耗,1,1.821004,1554.572239
S011,架次-能耗-时间,1,1.077146,1189.630805
S011,架次-时间-能耗,1,1.077146,1189.630805
S012,架次-能耗-时间,1,2.755193,1923.801401
S012,架次-时间-能耗,1,2.755193,1923.801401
S013,架次-能耗-时间,1,1.824534,1510.400941
S013,架次-时间-能耗,1,1.824534,1510.400941
S014,架次-能耗-时间,1,2.137233,1868.598448
S014,架次-时间-能耗,1,2.137233,1868.598448
S015,架次-能耗-时间,1,2.310846,1829.574101
S015,架次-时间-能耗,1,2.310846,1829.574101
